Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
ACC, 66000-1,North Bldg C114,M,1:00 PM,Zhao Yan Ying,200 mins
ACC, 77700-1,West Bldg W503,WF,5:00 PM,Zhao Yan Ying,75 mins
ACCP, 37100-1,West Bldg W503,M,1:00 PM,Li John Qiang,200 mins
ACCP, 37100-2,North Bldg 531,T,1:00 PM,Yin Yuan,200 mins
ACCP, 49000-1,North Bldg 531,MF,8:00 AM,Yin Yuan,100 mins
ACSK, 6500-1,North Bldg 1516,W,8:00 AM,Vielie Vanderie A,200 mins
ACSK, 6500-2,West Bldg W405,W,8:00 AM,Liggins Fredericka,200 mins
AFPRL, 20100-1,North Bldg 404,T,8:00 AM,Hampton Barbara,200 mins
AFPRL, 29001-1,North Bldg C108,TF,1:00 PM,Hampton Barbara,75 mins
AFPRL, 29003-1,North Bldg 404,W,8:00 AM,Hampton Barbara,150 mins
AFPRL, 38400-1,North Bldg C108,W,5:00 PM,Lima Lazaro,200 mins
AFPRL, 39030-1,West Bldg W113,TH,1:00 PM,Ramlal Derek,200 mins
ANTH, 70256-1,North Bldg 705,M,8:00 AM,Coleman Leo C,200 mins
ANTH, 70300-1,North Bldg 717,MW,5:00 PM,Baden Andrea,100 mins
ANTH, 72200-1,North Bldg 705,MTH,5:00 PM,Coleman Leo C,75 mins
ANTH, 72551-1,North Bldg 717,WF,7:00 PM,Parry William J,75 mins
ANTH, 75400-1,North Bldg 705,F,8:00 AM,Coleman Leo C,150 mins
ANTH, 77153-1,North Bldg 730,MF,8:00 AM,Fierman Julia B,75 mins
ANTH, 79101-1,North Bldg 705,TTH,10:00 AM,Fierman Julia B,75 mins
ANTH, 79102-1,North Bldg 730,W,5:00 PM,Coleman Leo C,150 mins
ANTHP, 10100-1,North Bldg 712,MF,12:00 PM,Soler Angela,75 mins
ANTHP, 10100-2,West Bldg W415,MF,10:00 AM,Baden Andrea,75 mins
ANTHP, 10100-3,North Bldg 1036,TTH,10:00 AM,Westphal Darice Rae,75 mins
ANTHP, 10100-4,North Bldg 717,TF,10:00 AM,Cassalett Santiago,75 mins
ANTHP, 10100-5,West Bldg W415,MTH,12:00 PM,Parks Ashley Nicole,75 mins
ANTHP, 10500-1,North Bldg 717,MTH,10:00 AM,Cassalett Santiago,100 mins
ANTHP, 10500-2,North Bldg 730,TTH,9:00 AM,Parks Ashley Nicole,100 mins
ANTHP, 10500-3,North Bldg 712,TTH,12:00 PM,Cassalett Santiago,100 mins
ANTHP, 30200-1,North Bldg 1036,W,1:00 PM,Westphal Darice Rae,200 mins
ANTHP, 30600-1,North Bldg 1036,MW,10:00 AM,Gilbert Christopher Charles,75 mins
ANTHP, 40101-1,North Bldg 730,TF,12:00 PM,Gilbert Christopher Charles,75 mins
ANTHP, 40150-1,North Bldg 712,TF,2:00 PM,Westphal Darice Rae,100 mins
ANTHP, 40177-1,North Bldg 712,MW,5:00 PM,Soler Angela,100 mins
ARB, 15000-1,West Bldg W610,TH,5:00 PM,Abouelkhair Hager,150 mins
ARB, 25000-1,West Bldg W412,TTH,8:00 AM,Brown Deeadra Ann,75 mins
ARB, 40100-1,West Bldg W610,MF,9:00 AM,Abouelkhair Hager,75 mins
ARTCR, 22100-1,North Bldg 11072,TTH,8:00 AM,Carreiro Joel,100 mins
ARTCR, 22100-2,North Bldg 11034A,TF,10:00 AM,Leist Reiner,100 mins
ARTCR, 22500-1,North Bldg 11072,WF,1:00 PM,Wood Brian W,75 mins
ARTCR, 22500-2,North Bldg 11003,MF,4:00 PM,Sanchez Juan,75 mins
ARTCR, 22500-3,North Bldg 11072,TF,4:00 PM,Wood Brian W,75 mins
ARTCR, 23500-1,North Bldg 11034A,T,1:00 PM,Jaudon Valerie,200 mins
ARTCR, 23500-2,North Bldg 11034A,M,1:00 PM,Carreiro Joel,200 mins
ARTCR, 25100-1,North Bldg 11083,MF,1:00 PM,Jaudon Valerie,75 mins
ARTCR, 25100-2,North Bldg 11005,MF,2:00 PM,Leist Reiner,75 mins
ARTCR, 25700-1,North Bldg 11005,MF,8:00 AM,Burnes Aisha Khaiilah,75 mins
ARTCR, 27100-1,North Bldg 1600,MW,1:00 PM,Burnes Aisha Khaiilah,100 mins
ARTCR, 27100-2,North Bldg 11034A,WF,1:00 PM,Carreiro Joel,100 mins
ARTCR, 29000-1,North Bldg 11003,TH,3:00 PM,Carreiro Joel,200 mins
ARTCR, 29000-2,North Bldg 11083,M,4:00 PM,Jaudon Valerie,200 mins
ARTCR, 32200-1,North Bldg 1600,TTH,2:00 PM,Burnes Aisha Khaiilah,75 mins
ARTCR, 75149-1,North Bldg 11072,M,8:00 AM,Sanchez Juan,200 mins
ARTCR, 75165-1,North Bldg 11034A,WF,8:00 PM,Sanchez Juan,75 mins
ARTCR, 75181-1,North Bldg 1600,TF,4:00 PM,Burnes Aisha Khaiilah,100 mins
ARTCR, 75182-1,North Bldg 11072,T,6:00 PM,Sanchez Juan,200 mins
ARTH, 11100-1,West Bldg W714,TH,5:00 PM,Zanardi Tara Joy Mona,150 mins
ARTH, 11100-2,West Bldg W615,F,7:00 PM,Dey Hendrik William,150 mins
ARTH, 11100-3,North Bldg 1501,W,5:00 PM,Golan Romy,150 mins
ARTH, 11100-4,West Bldg W615,TH,7:00 PM,Avcioglu Nebahat,150 mins
ARTH, 11100-5,North Bldg 1501,T,5:00 PM,Dey Hendrik William,150 mins
ARTH, 21500-1,North Bldg 1502,T,8:00 AM,De Duve Thierry,150 mins
ARTH, 22500-1,North Bldg 1527,W,5:00 PM,Pissarro Joachim,150 mins
ARTH, 24000-1,West Bldg W615,F,8:00 AM,Pelizzari Maria A.,150 mins
ARTH, 24500-1,West Bldg W714,MW,8:00 AM,Kent Lori Anne,75 mins
ARTH, 24900-1,North Bldg 1527,MTH,8:00 AM,Dey Hendrik William,75 mins
ARTH, 25100-1,West Bldg W615,M,8:00 PM,De Duve Thierry,150 mins
ARTH, 25500-1,West Bldg W714,WF,1:00 PM,Pissarro Joachim,75 mins
ARTH, 26000-1,West Bldg W615,T,5:00 PM,Jaskey Jennifer Marie,150 mins
ARTH, 30000-1,West Bldg W714,TTH,8:00 AM,Golan Romy,75 mins
ARTH, 35120-1,North Bldg 1501,TF,2:00 PM,Zanardi Tara Joy Mona,75 mins
ARTH, 60200-1,North Bldg 1501,WF,8:00 AM,Dey Hendrik William,100 mins
ARTH, 62100-1,West Bldg W615,TTH,1:00 PM,Golan Romy,100 mins
ARTH, 63700-1,West Bldg W615,T,8:00 AM,Pelizzari Maria A.,150 mins
ARTH, 73400-1,West Bldg W615,TH,8:00 AM,Jaudon Valerie,200 mins
ARTH, 73400-2,North Bldg 1602,W,12:00 PM,Loh Maria Hsiuya,200 mins
ARTH, 73400-3,West Bldg W615,M,12:00 PM,Braun Emily F.,200 mins
ARTH, 73500-1,North Bldg 1501,MW,12:00 PM,Zanardi Tara Joy Mona,100 mins
ARTH, 73600-1,North Bldg 1503,F,8:00 AM,Zanardi Tara Joy Mona,200 mins
ARTH, 76105-1,North Bldg 1503,F,8:00 PM,De Duve Thierry,200 mins
ARTH, 76200-1,North Bldg 1502,WF,4:00 PM,Dey Hendrik William,75 mins
ARTH, 76200-2,North Bldg 1602,TF,4:00 PM,Montgomery Harper L,75 mins
ARTH, 73600-1,North Bldg 1503,F,8:00 AM,Zanardi Tara Joy Mona,200 mins
ARTH, 76105-1,North Bldg 1503,F,8:00 PM,De Duve Thierry,200 mins
ARTH, 76200-1,North Bldg 1502,WF,4:00 PM,Dey Hendrik William,75 mins
ARTH, 76200-2,North Bldg 1602,TF,4:00 PM,Montgomery Harper L,75 mins
ARTH, 78008-1,North Bldg 1501,M,2:00 PM,Golan Romy,200 mins
ARTH, 78088-1,North Bldg 1527,M,1:00 PM,Loh Maria Hsiuya,150 mins
ARTH, 78099-1,North Bldg 1503,TH,5:00 PM,Golan Romy,200 mins
MATH, 10000-1,West Bldg W117,M,1:00 PM,Shankar Subash,200 mins
MATH, 10100-1,ThomHunter 407,T,5:00 PM,Thompson Robert D,200 mins
MATH, 10100-2,West Bldg W415,M,5:00 PM,Samra Michael,200 mins
MATH, 10100-3,West Bldg W511,F,8:00 PM,Shankar Subash,200 mins
MATH, 10100-4,East Bldg E919,W,8:00 PM,Samra Michael,200 mins
MATH, 10100-5,West Bldg W205,T,8:00 PM,Chess Daniel,200 mins
MATH, 10100-6,ThomHunter 407,M,8:00 PM,Thompson Robert D,200 mins
MATH, 10100-7,West Bldg W415,TH,7:00 PM,Chess Daniel,200 mins
MATH, 10100-8,West Bldg W117,TH,5:00 PM,Shneerson Lev,200 mins
MATH, 10200-1,West Bldg W609,T,6:00 PM,Samra Michael,200 mins
MATH, 10400-1,East Bldg E920,MTH,8:00 AM,Bendersky Martin,100 mins
MATH, 10500-1,ThomHunter 412,WF,1:00 PM,Shneerson Lev,100 mins
MATH, 12400-1,West Bldg W215,F,6:00 PM,Chess Daniel,200 mins
MATH, 12400-1,West Bldg W215,F,6:00 PM,Chess Daniel,200 mins
MATH, 12550-1,West Bldg W204,W,4:00 PM,Thompson Robert D,200 mins
MATH, 12550-2,North Bldg 306,TH,1:00 PM,Bendersky Martin,200 mins
MATH, 12550-3,North Bldg C100,T,2:00 PM,Shankar Subash,200 mins
MATH, 12550-4,East Bldg E919,TH,1:00 PM,Thompson Robert D,200 mins
MATH, 12550-5,North Bldg C101,W,1:00 PM,Bendersky Martin,200 mins
MATH, 12550-6,West Bldg W511,F,2:00 PM,Thompson Robert D,200 mins
MATH, 12550-7,North Bldg 1036,M,3:00 PM,Chess Daniel,200 mins
MATH, 12550-8,West Bldg W508,TH,1:00 PM,Shankar Subash,200 mins
MATH, 12550-1,West Bldg W204,W,4:00 PM,Thompson Robert D,200 mins
MATH, 12550-2,North Bldg 306,TH,1:00 PM,Bendersky Martin,200 mins
MATH, 12550-3,North Bldg C100,T,2:00 PM,Shankar Subash,200 mins
MATH, 12550-4,East Bldg E919,TH,1:00 PM,Thompson Robert D,200 mins
MATH, 12550-5,North Bldg C101,W,1:00 PM,Bendersky Martin,200 mins
MATH, 12550-6,West Bldg W511,F,2:00 PM,Thompson Robert D,200 mins
MATH, 12550-7,North Bldg 1036,M,3:00 PM,Chess Daniel,200 mins
MATH, 12550-8,West Bldg W508,TH,1:00 PM,Shankar Subash,200 mins
MATH, 12550-9,West Bldg W509,M,1:00 PM,Shneerson Lev,200 mins
MATH, 12550-10,North Bldg 531,F,2:00 PM,Bendersky Martin,200 mins
MATH, 12550-11,West Bldg W206,F,2:00 PM,Samra Michael,200 mins
MATH, 12550-12,West Bldg W206,W,4:00 PM,Chess Daniel,200 mins
MATH, 14000-1,North Bldg C004,WF,9:00 AM,Chess Daniel,100 mins
MATH, 14000-2,West Bldg W205,WF,9:00 AM,Bendersky Martin,100 mins
MATH, 15000-1,East Bldg E921,T,8:00 AM,Shankar Subash,200 mins
MATH, 15000-2,West Bldg W605,TH,12:00 PM,Shneerson Lev,200 mins
MATH, 15000-3,North Bldg C004,M,11:00 AM,Thompson Robert D,200 mins
MATH, 15000-4,West Bldg W406,W,10:00 AM,Shankar Subash,200 mins
MATH, 15000-5,West Bldg W511,F,9:00 AM,Shankar Subash,200 mins
MATH, 15000-6,West Bldg W506,M,9:00 AM,Chess Daniel,200 mins
MATH, 15000-7,ThomHunter 408,TH,8:00 AM,Chess Daniel,200 mins
MATH, 15500-1,North Bldg 1311,W,8:00 AM,Samra Michael,150 mins
MATH, 15500-2,West Bldg W508,T,3:00 PM,Shneerson Lev,150 mins
MATH, 15500-3,North Bldg 1311,W,5:00 PM,Shankar Subash,150 mins
MATH, 15600-1,ThomHunter 412,W,6:00 PM,Shneerson Lev,150 mins
MATH, 15600-2,West Bldg W208,M,8:00 PM,Chess Daniel,150 mins
MATH, 16000-1,West Bldg W506,T,11:00 AM,Shneerson Lev,150 mins
