Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference
CSCI,135,2,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","A,B,C,Z",3,2,"C,Z",Morning,Evening
CSCI,202,1,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","A,B,C",3,2,A,,Afternoon
CSCI,205,1,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","A,B,C",4,1,,Evening,Evening
CSCI,235,2,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","A,B,C",3,2,"A,B",Morning,Afternoon
CSCI,267,3,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","C,D,E",3,1,,,Morning
CSCI,335,4,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","C,D,E",4,1,,Morning,Evening
CSCI,350,2,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109",B,3,1,,,Morning
CSCI,497,1,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","F,G",3,2,F,Morning,Morning
CSCI,499,3,"A100,A101,A102,A103,A104,A105,A106,A107,A108,A109","F,RandomProf",4,1,,Morning,Afternoon
MATH,135,5,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","H,I,J",3,2,,Evening,
MATH,202,2,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","A,B,J",3,1,J,,
MATH,235,3,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","A,B,J,F",4,2,,Afternoon,Afternoon
MATH,267,1,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","A,B,J",4,1,B,Evening,Evening
MATH,335,3,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","B,C,L",3,2,,Morning,Morning
MATH,350,1,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","L,M",3,1,M,,Morning
MATH,497,1,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209",M,3,1,,Evening,Evening
MATH,499,1,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","N,O",3,2,,,Evening
MATH,60000,1,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","L,O",4,1,L,Afternoon,Afternoon
MATH,42,5,"A200,A201,A202,A203,A204,A205,A206,A207,A208,A209","Z, R",4,2,,Afternoon,Evening
ENG,101,2,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","ABC,XYZ",3,1,,Morning,
ENG,201,1,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","ABC,XYZ",3,1,,,Afternoon
ENG,202,2,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","ABC,XYZ",3,1,,Morning,Morning
ENG,267,2,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","ABC,XYZ",3,1,,,Afternoon
ENG,335,1,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","Hoopla,Doofenschmirtz",4,2,Hoopla,,Morning
ENG,350,5,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","Doofenschmirtz, WXY",3,1,,Afternoon,Evening
ENG,497,1,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209",Kelaty,3,2,,Evening,Evening
ENG,499,1,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","Kelaty,Abba",3,1,,Evening,Evening
ENG,5000,3,"B200,B201,B202,B203,B204,B205,B206,B207,B208,B209","Abba,A",3,2,Abba,,Morning
JPN,101,3,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209","Doofenschmirtz,Tanaka",4,1,,Afternoon,
JPN,201,3,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209","Doofenschmirtz,Tanaka",3,2,,,Evening
JPN,202,1,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209","Doofenschmirtz,Tanaka",3,1,,,Afternoon
JPN,267,2,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209","Doofenschmirtz,Tanaka",3,2,,Evening,Evening
JPN,335,3,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209","Tanaka,Karasawa",3,2,,Afternoon,Afternoon
JPN,350,2,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209",Karasawa,4,2,,Morning,Morning
JPN,497,1,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209",Shuichiro,3,1,,,Evening
JPN,499,2,"D200,D201,D202,D203,D204,D205,D206,D207,D208,D209","Shuichiro,Appleseed",3,2,Appleseed,Morning,Morning
