"index","title","class_num","section_num","day_time","room","instructor"
"0","  ACC 66000 - Managerial Economics","6639","01","We 7:30PM - 9:20PM ","West Bldg W503 ","Chang,Philip "
"1","  ACC 77700 - State and Local Taxation","8011","01","We 5:30PM - 7:20PM ","North Bldg C114 ","Zhao,Yan Ying "
"2","  ACCP 37100 - Intermediate Accounting I","6023","01","MoTh 1:10PM - 2:25PM ","West Bldg W503 ","Yin,Yuan "
"3","  ACCP 37100 - Intermediate Accounting I","6024","02","Sa 12:10PM - 3:00PM ","North Bldg 531 ","Rampulla,Renee "
"4","  ACCP 49000 - Accounting & Auditing Research","7749","01","TuFr 11:10AM - 12:25PM ","West Bldg W503 ","Li,John Qiang "
"5","  ACCP 49000 - Accounting & Auditing Research","8134","02","Fr 5:30PM - 8:30PM ","West Bldg W503 ","Li,John Qiang "
"6","  ACSK 6500 - Orientation-Success","14773","01","Th 3:10PM - 5:00PM ","North Bldg 1516 ","Benito,Wilson "
"7","  ACSK 6500 - Orientation-Success","14781","02","We 3:10PM - 5:00PM ","West Bldg W604 ","Martin,Patricia "
"8","  ACSK 6500 - Orientation-Success","14796","03","Th 3:10PM - 5:00PM ","ThomHunter 408 ","Vielie,Vanderie A "
"9","  ACSK 6500 - Orientation-Success","14797","04","We 3:10PM - 5:00PM ","West Bldg W405 ","Liggins,Fredericka "
"10","  AFPRL 20100 - African Hist:Origin 1600 Cent","5599","01","TuFr 3:45PM - 5:00PM ","West Bldg W113 ","Ramlal,Derek "
"11","  AFPRL 29001 - History of Jazz","5720","01","TuFr 3:45PM - 5:00PM ","North Bldg 404 ","TBA "
"12","  AFPRL 29001 - History of Jazz","7521","02","MoTh 4:10PM - 5:25PM ","North Bldg 405 ","TBA "
"13","  AFPRL 29003 - Music of Africa","17389","01","MoTh 2:45PM - 4:00PM ","North Bldg 405 ","Hampton,Barbara "
"14","  AFPRL 38400 - Poverty in Society","30466","01","TuTh 5:35PM - 6:50PM ","West Bldg W407 ","Browne,Anthony P "
"15","  AFPRL 39030 - Being Brown: Lat in US Pol Cul","53458","01","MoTh 2:45PM - 4:00PM ","North Bldg C108 ","Lima,Lazaro "
"16","  AFPRL 49100 - Independant Study-Black Seq","5729","01","TBA ","TBA ","TBA "
"17","  AFPRL 49200 - Independent Study-PR Seq","5730","01","TBA ","TBA ","TBA "
"18","  AFPRL 49900 - Honors","5732","01","TBA ","TBA ","TBA "
"19","  ANTH 70256 - Anthropology and Energy","9387","01","MoTh 2:45PM - 4:00PM ","North Bldg 705 ","Coleman,Leo C "
"20","  ANTH 70300 - History:Anthropological Theory","8706","01","Th 5:30PM - 7:20PM ","North Bldg 717 ","Fierman,Julia B "
"21","  ANTH 70600 - Master's Thesis Seminar","6923","01","TBA ","TBA ","TBA "
"22","  ANTH 70600 - Master's Thesis Seminar","8502","02","TBA ","TBA ","TBA "
"23","  ANTH 70600 - Master's Thesis Seminar","8503","03","TBA ","TBA ","TBA "
"24","  ANTH 70600 - Master's Thesis Seminar","8504","04","TBA ","TBA ","TBA "
"25","  ANTH 70600 - Master's Thesis Seminar","8505","05","TBA ","TBA ","TBA "
"26","  ANTH 72200 - Research Design in Anthro","62619","01","TuFr 11:10AM - 12:25PM ","North Bldg 717 ","Gilbert,Christopher Charles "
