course,title,class_num,days_of_week,time,room,instructor
ACC 66000,Managerial Economics,6639,We,7:30PM - 9:20PM,West Bldg W503,Chang Philip
ACC 77700,State and Local Taxation,8011,We,5:30PM - 7:20PM,North Bldg C114,Zhao Yan Ying
ACCP 37100,Intermediate Accounting I,6023,MoTh,1:10PM - 2:25PM,West Bldg W503,Yin Yuan
ACCP 37100,Intermediate Accounting I,6024,Sa,12:10PM - 3:00PM,North Bldg 531,Rampulla Renee
ACCP 49000,Accounting & Auditing Research,7749,TuFr,11:10AM - 12:25PM,West Bldg W503,Li John Qiang
ACCP 49000,Accounting & Auditing Research,8134,Fr,5:30PM - 8:30PM,West Bldg W503,Li John Qiang
ACSK 6500,Orientation-Success,14773,Th,3:10PM - 5:00PM,North Bldg 1516,Benito Wilson
ACSK 6500,Orientation-Success,14781,We,3:10PM - 5:00PM,West Bldg W604,Martin Patricia
ACSK 6500,Orientation-Success,14796,Th,3:10PM - 5:00PM,ThomHunter 408,Vielie Vanderie A
ACSK 6500,Orientation-Success,14797,We,3:10PM - 5:00PM,West Bldg W405,Liggins Fredericka
AFPRL 20100,African Hist:Origin 1600 Cent,5599,TuFr,3:45PM - 5:00PM,West Bldg W113,Ramlal Derek
AFPRL 29001,History of Jazz,5720,TuFr,3:45PM - 5:00PM,North Bldg 404,
AFPRL 29001,History of Jazz,7521,MoTh,4:10PM - 5:25PM,North Bldg 405,
AFPRL 29003,Music of Africa,17389,MoTh,2:45PM - 4:00PM,North Bldg 405,Hampton Barbara
AFPRL 38400,Poverty in Society,30466,TuTh,5:35PM - 6:50PM,West Bldg W407,Browne Anthony P
AFPRL 39030,Being Brown: Lat in US Pol Cul,53458,MoTh,2:45PM - 4:00PM,North Bldg C108,Lima Lazaro
ANTH 70256,Anthropology and Energy,9387,MoTh,2:45PM - 4:00PM,North Bldg 705,Coleman Leo C
ANTH 70300,History:Anthropological Theory,8706,Th,5:30PM - 7:20PM,North Bldg 717,Fierman Julia B
ANTH 72200,Research Design in Anthro,62619,TuFr,11:10AM - 12:25PM,North Bldg 717,Gilbert Christopher Charles
ANTH 72551,Anthropology of Race,62658,We,5:30PM - 7:20PM,North Bldg 717,Brown Jacqueline Nassy
ANTH 75400,Archaeology of North America,8717,Tu,5:30PM - 7:20PM,North Bldg 705,Parry William J
ANTH 77153,Language & Power,62626,TuFr,9:45AM - 11:00AM,North Bldg 705,
ANTH 79101,Human Osteology,62630,We,5:30PM - 7:20PM,North Bldg 730,Soler Angela
ANTH 79102,Field Methods in Primatology,62631,Mo,5:30PM - 7:20PM,North Bldg 730,Baden Andrea
ANTHC 10000,Cultural Diversity in the US,7985,TuFr,10:10AM - 11:00AM,North Bldg 510,Brown Jacqueline Nassy
ANTHC 10000,Cultural Diversity in the US,62670,MoTh,11:10AM - 12:00PM,West Bldg W615,Gerdes Jason Lee
