Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
ACC, 66000-1,North Bldg C114,F,4:00 PM,Chang Philip,200 mins
ACC, 77700-1,North Bldg C114,MTH,5:00 PM,Zhao Yan Ying,75 mins
ACCP, 37100-1,West Bldg W503,T,1:00 PM,Rampulla Renee,200 mins
ACCP, 37100-2,West Bldg W503,W,3:00 PM,Rampulla Renee,200 mins
ACCP, 49000-1,North Bldg 531,TTH,9:00 AM,Li John Qiang,100 mins
ACSK, 6500-1,West Bldg W405,TH,11:00 AM,Martin Patricia,200 mins
ACSK, 6500-2,West Bldg W405,W,9:00 AM,Liggins Fredericka,200 mins
AFPRL, 20100-1,West Bldg W407,F,8:00 AM,Ramlal Derek,200 mins
AFPRL, 29001-1,North Bldg 404,MW,3:00 PM,Lima Lazaro,75 mins
AFPRL, 29003-1,North Bldg C108,M,12:00 PM,Ramlal Derek,150 mins
AFPRL, 38400-1,North Bldg 404,W,5:00 PM,Browne Anthony P,200 mins
AFPRL, 39030-1,North Bldg C108,T,1:00 PM,Ramlal Derek,200 mins
ANTH, 70256-1,North Bldg 705,F,9:00 AM,Soler Angela,200 mins
ANTH, 70300-1,North Bldg 730,MTH,6:00 PM,Baden Andrea,100 mins
ANTH, 72200-1,North Bldg 705,MF,6:00 PM,Fierman Julia B,75 mins
ANTH, 72551-1,North Bldg 717,TF,5:00 PM,Soler Angela,75 mins
ANTH, 75400-1,North Bldg 717,T,12:00 PM,Baden Andrea,150 mins
ANTH, 77153-1,North Bldg 705,MTH,9:00 AM,Brown Jacqueline Nassy,75 mins
ANTH, 79101-1,North Bldg 717,MTH,9:00 AM,Gilbert Christopher Charles,75 mins
ANTH, 79102-1,North Bldg 730,W,8:00 PM,Fierman Julia B,150 mins
ANTHP, 10100-1,North Bldg 712,MTH,12:00 PM,Parks Ashley Nicole,75 mins
ANTHP, 10100-2,West Bldg W415,MW,10:00 AM,Cassalett Santiago,75 mins
ANTHP, 10100-3,North Bldg 1036,MTH,8:00 AM,Westphal Darice Rae,75 mins
ANTHP, 10100-4,North Bldg 730,MW,11:00 AM,Westphal Darice Rae,75 mins
ANTHP, 10100-5,North Bldg 717,TF,9:00 AM,Westphal Darice Rae,75 mins
ANTHP, 10500-1,North Bldg 730,TF,8:00 AM,Cassalett Santiago,100 mins
ANTHP, 10500-2,West Bldg W415,TF,12:00 PM,Westphal Darice Rae,100 mins
ANTHP, 10500-3,North Bldg 1036,TTH,10:00 AM,Soler Angela,100 mins
ANTHP, 30200-1,North Bldg 730,W,1:00 PM,Cassalett Santiago,200 mins
ANTHP, 30600-1,North Bldg 712,TF,8:00 AM,Baden Andrea,75 mins
ANTHP, 40101-1,North Bldg 730,TF,11:00 AM,Cassalett Santiago,75 mins
ANTHP, 40150-1,North Bldg 717,MTH,1:00 PM,Cassalett Santiago,100 mins
ANTHP, 40177-1,North Bldg 717,TTH,8:00 PM,Cassalett Santiago,100 mins
ARB, 15000-1,West Bldg W412,M,5:00 PM,Brown Deeadra Ann,150 mins
ARB, 25000-1,West Bldg W412,MW,8:00 AM,Abouelkhair Hager,75 mins
ARB, 40100-1,West Bldg W610,MTH,12:00 PM,Brown Deeadra Ann,75 mins
ARTCR, 22100-1,North Bldg 11003,MF,11:00 AM,Burnes Aisha Khaiilah,100 mins
ARTCR, 22100-2,North Bldg 11083,MTH,10:00 AM,Leist Reiner,100 mins
ARTCR, 22500-1,North Bldg 11072,TF,2:00 PM,Carreiro Joel,75 mins
ARTCR, 22500-2,North Bldg 11003,TF,2:00 PM,Leist Reiner,75 mins
ARTCR, 22500-3,North Bldg 11083,WF,1:00 PM,Sanchez Juan,75 mins
ARTCR, 23500-1,North Bldg 11005,W,3:00 PM,Burnes Aisha Khaiilah,200 mins
ARTCR, 23500-2,North Bldg 11083,T,4:00 PM,Sanchez Juan,200 mins
ARTCR, 25100-1,North Bldg 11005,MTH,2:00 PM,Carreiro Joel,75 mins
ARTCR, 25100-2,North Bldg 11072,MTH,2:00 PM,Leist Reiner,75 mins
ARTCR, 25700-1,North Bldg 11003,TTH,8:00 AM,Sanchez Juan,75 mins
ARTCR, 27100-1,North Bldg 1600,TTH,4:00 PM,Carreiro Joel,100 mins
ARTCR, 27100-2,North Bldg 11034A,MTH,3:00 PM,Wood Brian W,100 mins
ARTCR, 29000-1,North Bldg 11005,T,1:00 PM,Jaudon Valerie,200 mins
ARTCR, 29000-2,North Bldg 1600,M,4:00 PM,Burnes Aisha Khaiilah,200 mins
ARTCR, 32200-1,North Bldg 11072,MF,4:00 PM,Leist Reiner,75 mins
ARTCR, 75149-1,North Bldg 11034A,TH,8:00 AM,Carreiro Joel,200 mins
ARTCR, 75165-1,North Bldg 11003,TTH,6:00 PM,Leist Reiner,75 mins
ARTCR, 75181-1,North Bldg 1600,WF,4:00 PM,Wood Brian W,100 mins
ARTCR, 75182-1,North Bldg 11005,TH,6:00 PM,Carreiro Joel,200 mins
ARTH, 11100-1,North Bldg 1527,TH,5:00 PM,Pelizzari Maria A.,150 mins
ARTH, 11100-2,West Bldg W615,W,5:00 PM,Loh Maria Hsiuya,150 mins
ARTH, 11100-3,North Bldg 1602,TH,7:00 PM,Loh Maria Hsiuya,150 mins
ARTH, 11100-4,North Bldg 1602,T,8:00 PM,De Duve Thierry,150 mins
ARTH, 11100-5,North Bldg 1503,F,8:00 PM,Loh Maria Hsiuya,150 mins
ARTH, 21500-1,North Bldg 1527,F,9:00 AM,Pelizzari Maria A.,150 mins
ARTH, 22500-1,North Bldg 1501,M,5:00 PM,Avcioglu Nebahat,150 mins
ARTH, 24000-1,North Bldg 1502,T,12:00 PM,De Duve Thierry,150 mins
ARTH, 24500-1,North Bldg 1602,WF,9:00 AM,Montgomery Harper L,75 mins
ARTH, 24900-1,North Bldg 1527,MTH,10:00 AM,Jaskey Jennifer Marie,75 mins
ARTH, 25100-1,North Bldg 1527,T,8:00 PM,Braun Emily F.,150 mins
ARTH, 25500-1,North Bldg 1502,MW,3:00 PM,Kent Lori Anne,75 mins
ARTH, 26000-1,North Bldg 1602,M,5:00 PM,Loh Maria Hsiuya,150 mins
ARTH, 30000-1,North Bldg 1503,WF,10:00 AM,Zanardi Tara Joy Mona,75 mins
ARTH, 35120-1,West Bldg W615,TF,3:00 PM,Zanardi Tara Joy Mona,75 mins
ARTH, 60200-1,North Bldg 1502,MW,11:00 AM,Braun Emily F.,100 mins
ARTH, 62100-1,North Bldg 1501,MTH,1:00 PM,Avcioglu Nebahat,100 mins
ARTH, 63700-1,North Bldg 1527,F,12:00 PM,Avcioglu Nebahat,150 mins
ARTH, 73400-1,West Bldg W615,M,10:00 AM,Golan Romy,200 mins
ARTH, 73400-2,North Bldg 1503,TH,9:00 AM,Montgomery Harper L,200 mins
ARTH, 73400-3,North Bldg 1503,T,8:00 AM,Zanardi Tara Joy Mona,200 mins
ARTH, 73500-1,West Bldg W714,WF,11:00 AM,Dey Hendrik William,100 mins
ARTH, 73600-1,West Bldg W714,TH,10:00 AM,De Duve Thierry,200 mins
ARTH, 76105-1,West Bldg W714,M,7:00 PM,Jaudon Valerie,200 mins
ARTH, 76200-1,West Bldg W714,TTH,4:00 PM,Avcioglu Nebahat,75 mins
ARTH, 76200-2,North Bldg 1503,MTH,1:00 PM,Zanardi Tara Joy Mona,75 mins
ARTH, 73600-1,West Bldg W714,TH,10:00 AM,De Duve Thierry,200 mins
ARTH, 76105-1,West Bldg W714,M,7:00 PM,Jaudon Valerie,200 mins
ARTH, 76200-1,West Bldg W714,TTH,4:00 PM,Avcioglu Nebahat,75 mins
ARTH, 76200-2,North Bldg 1503,MTH,1:00 PM,Zanardi Tara Joy Mona,75 mins
ARTH, 78008-1,North Bldg 1602,F,1:00 PM,Jaskey Jennifer Marie,200 mins
ARTH, 78088-1,North Bldg 1501,W,4:00 PM,Pelizzari Maria A.,150 mins
ARTH, 78099-1,North Bldg 1501,M,8:00 PM,Loh Maria Hsiuya,200 mins
MATH, 10000-1,North Bldg C004,W,1:00 PM,Samra Michael,200 mins
MATH, 10100-1,West Bldg W205,F,6:00 PM,Shankar Subash,200 mins
