course,sections,rooms,instructors,time,credits
ACC 66000,1,"West Bldg W503,North Bldg C114","Zhao Yan Ying,Chang Philip",Afternoon,2
ACC 77700,1,"West Bldg W503,North Bldg C114","Zhao Yan Ying,Chang Philip",Evening,2
ACCP 37100,2,"West Bldg W503,North Bldg 531","Yin Yuan,Li John Qiang,Rampulla Renee",Afternoon,2
ACCP 49000,1,"West Bldg W503,North Bldg 531","Yin Yuan,Li John Qiang,Rampulla Renee",Morning,2
ACCP 49000,1,"West Bldg W503,North Bldg 531","Yin Yuan,Li John Qiang,Rampulla Renee",Evening,2
ACSK 6500,2,"ThomHunter 408,West Bldg W405,West Bldg W604,North Bldg 1516","Martin Patricia,Vielie Vanderie A,Liggins Fredericka,Benito Wilson",Morning,2
ACSK 6500,1,"ThomHunter 408,West Bldg W405,West Bldg W604,North Bldg 1516","Martin Patricia,Vielie Vanderie A,Liggins Fredericka,Benito Wilson",Afternoon,2
ACSK 6500,1,"ThomHunter 408,West Bldg W405,West Bldg W604,North Bldg 1516","Martin Patricia,Vielie Vanderie A,Liggins Fredericka,Benito Wilson",Evening,2
AFPRL 20100,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",Morning,2
AFPRL 29001,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",Afternoon,2
AFPRL 29001,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",Evening,2
AFPRL 29003,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",Morning,2
AFPRL 38400,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",Evening,2
AFPRL 39030,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",Afternoon,2
ANTH 70256,1,"North Bldg 730,North Bldg 717,North Bldg 705","Soler Angela,Brown Jacqueline Nassy,Parry William J,Fierman Julia B,Gilbert Christopher Charles,Baden Andrea,Coleman Leo C",Afternoon,2
ANTH 70300,1,"North Bldg 730,North Bldg 717,North Bldg 705","Soler Angela,Brown Jacqueline Nassy,Parry William J,Fierman Julia B,Gilbert Christopher Charles,Baden Andrea,Coleman Leo C",Evening,2
ANTH 72200,1,"North Bldg 730,North Bldg 717,North Bldg 705","Soler Angela,Brown Jacqueline Nassy,Parry William J,Fierman Julia B,Gilbert Christopher Charles,Baden Andrea,Coleman Leo C",Evening,2
