Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
ACC, 66000-1,North Bldg C114,TH,1:00 PM,Zhao Yan Ying,200 mins
ACC, 77700-1,North Bldg C114,MF,5:00 PM,Chang Philip,75 mins
ACCP, 37100-1,West Bldg W503,W,1:00 PM,Rampulla Renee,200 mins
ACCP, 37100-2,West Bldg W503,TH,3:00 PM,Yin Yuan,200 mins
ACCP, 49000-1,North Bldg 531,TTH,8:00 AM,Yin Yuan,100 mins
ACSK, 6500-1,North Bldg 1516,T,8:00 AM,Benito Wilson,200 mins
ACSK, 6500-2,North Bldg 1516,M,12:00 PM,Martin Patricia,200 mins
AFPRL, 20100-1,North Bldg C108,T,8:00 AM,Lima Lazaro,200 mins
AFPRL, 29001-1,North Bldg C108,WF,1:00 PM,Browne Anthony P,75 mins
AFPRL, 29003-1,West Bldg W407,TH,8:00 AM,Lima Lazaro,150 mins
AFPRL, 38400-1,West Bldg W407,TH,5:00 PM,Browne Anthony P,200 mins
AFPRL, 39030-1,West Bldg W113,M,1:00 PM,Browne Anthony P,200 mins
ANTH, 70256-1,North Bldg 730,TH,8:00 AM,Brown Jacqueline Nassy,200 mins
ANTH, 70300-1,North Bldg 705,WF,5:00 PM,Gilbert Christopher Charles,100 mins
ANTH, 72200-1,North Bldg 730,WF,5:00 PM,Fierman Julia B,75 mins
ANTH, 72551-1,North Bldg 730,TTH,5:00 PM,Baden Andrea,75 mins
ANTH, 75400-1,North Bldg 705,TH,8:00 AM,Fierman Julia B,150 mins
ANTH, 77153-1,North Bldg 705,TF,8:00 AM,Parry William J,75 mins
ANTH, 79101-1,North Bldg 717,TF,11:00 AM,Coleman Leo C,75 mins
ANTH, 79102-1,North Bldg 730,W,7:00 PM,Fierman Julia B,150 mins
ANTHP, 10100-1,West Bldg W415,MTH,8:00 AM,Parks Ashley Nicole,75 mins
ANTHP, 10100-2,North Bldg 717,MW,11:00 AM,Westphal Darice Rae,75 mins
